1	没见	-31.884312728913734
2	三个	-30.58106590623943
3	字	-30.457214818887124
4	实在	-30.04829611155879
5	体验	-29.71050698848922
6	死	-27.317759756947574
7	大家	-27.288674568932898
8	咖啡	-26.57944170986204
9	等	-26.538879556257214
10	形容	-25.98491180116735
11	不定	-25.599415722540044
12	不想	-25.56405102450632
13	一个多	-24.437698702411502
14	过	-24.396153846610595
15	无	-24.378698226249195
16	太特	-24.243932001153052
17	坑害	-24.152517790010922
18	全是	-23.594672497964073
19	弄	-23.550734773173918
20	小时	-23.544299097232724
21	极差	-23.543655093666473
22	简直	-23.49192081411556
23	这么	-23.449939729896993
24	很差	-23.201035394780035
25	建议	-23.191596168161418
26	至极	-23.133868155500195
27	真是	-23.04793931931662
28	鱼头	-22.978342409608203
29	完全	-22.860993648573963
30	要命	-22.827164819722555
31	越做越	-22.71883065622135
32	竟然	-22.57198690299547
33	将近	-21.987669331249382
34	不敢	-21.95767643137487
35	绝不	-21.9416210075123
36	一次	-21.683847615425496
37	到极点	-21.631120418067226
38	不仅	-21.391936492017376
39	再也不会	-21.366452860645197
40	尼玛	-21.294819421800945
41	太	-21.23102084827744
42	真是太	-21.185010054417468
43	明明	-21.156284299272613
44	？	-21.03734715171854
45	两个	-20.885729156187352
46	越来越	-20.66757492894314
47	酱汤	-20.42309067755864
48	无语	-20.32223235752484
49	差差	-20.3141454803727
50	语	-20.08966038734464
