1	没见	-31.884312728913734
2	实在	-30.718036068743608
3	三个	-30.711758726634397
4	字	-30.457214818887124
5	体验	-29.815195916471886
6	大家	-27.53937263092759
7	死	-27.449146347512624
8	等	-26.83308026615626
9	咖啡	-26.57944170986204
10	形容	-25.98491180116735
11	不定	-25.713958802941676
12	不想	-25.6939941982017
13	一个多	-24.847640554227837
14	过	-24.679319024294273
15	无	-24.378698226249195
16	这么	-24.276032649587137
17	太特	-24.200595421772967
18	坑害	-24.152517790010922
19	小时	-24.115242749064706
20	简直	-24.004797631492117
21	全是	-23.871287411582028
22	弄	-23.788379020990305
23	真是	-23.592300307127125
24	极差	-23.543655093666473
25	建议	-23.45073010056698
26	很差	-23.32119754768283
27	至极	-23.133868155500195
28	完全	-23.13067460852325
29	鱼头	-22.978342409608203
30	竟然	-22.843330308408596
31	要命	-22.827164819722555
32	越做越	-22.71883065622135
33	太	-22.487291135611425
34	一次	-22.245112414300856
35	将近	-22.110505618450503
36	不敢	-21.95767643137487
37	绝不	-21.9416210075123
38	到极点	-21.631120418067226
39	两个	-21.590574769083606
40	再也不会	-21.493393546179057
41	？	-21.473718099679914
42	不仅	-21.391936492017376
43	尼玛	-21.294819421800945
44	明明	-21.280276365650902
45	真是太	-21.185010054417468
46	越来越	-20.79263588125877
47	无语	-20.448595328365872
48	酱汤	-20.42309067755864
49	差差	-20.3141454803727
50	语	-20.206547408214576
