1	三个	-32.63211463614744
2	大家	-31.896322140022306
3	不定	-29.269498219061354
4	没见	-28.836175619338952
5	一味	-28.43141596497299
6	无	-28.233545420103116
7	死	-27.827441152998567
8	体验	-27.69477299823915
9	弄	-27.663190542001928
10	剩	-27.412782248453073
11	横	-26.636002169837244
12	咖啡	-26.192318550424467
13	再也不会	-25.92835366566794
14	超慢	-25.901302797121907
15	很差	-25.63250066001811
16	确认	-25.498872226695873
17	酱汤	-25.287102588126555
18	不想	-25.26923692523085
19	小时	-25.16445192183268
20	尼玛	-24.651871343648978
21	一个多	-24.651421545335573
22	地方	-24.576583334759242
23	形容	-23.816987602143115
24	花	-23.735302157487666
25	将近	-23.54537118330497
26	慢慢	-23.52001853325181
27	过	-23.03019166750541
28	太特	-22.659281213373404
29	坑害	-22.628449235223528
30	这么	-22.541590303619756
31	不再	-22.443398987153053
32	离	-22.244827836603914
33	要死	-22.198380760351384
34	越做越	-22.19476210143396
35	实在	-22.141218061600703
36	等	-21.773846554790644
37	一	-21.734765602178506
38	至极	-21.609799600712805
39	谁	-21.593860764661798
40	语	-21.536927716894706
41	干脆	-21.529642297172394
42	一个半	-21.45730459404282
43	鱼头	-21.454273854820812
44	先是	-21.41922690772161
45	坑	-21.33596185960199
46	多才	-21.270718993162482
47	无语	-21.14446727449878
48	遇到	-21.013093509717883
49	十点	-20.97998111305691
50	要命	-20.795073413339367
